quarter,ford_tfp
2002.75,-0.951220219630079
2003,0.725562358547019
2003.25,1.21257832334412
2003.5,1.06909684868242
2003.75,-0.308052541830596
2004,-0.407980815117513
2004.25,-0.230395638017007
2004.5,-0.0937184757538
2004.75,0.04783253786472
2005,0.193596388849488
2005.25,-0.512700626011778
2005.5,0.178801997697327
2005.75,-0.694042805477856
2006,-0.133359856934521
2006.25,-0.363159778892327
2006.5,-1.1706271356108
2006.75,0.241492567007281
2007,-0.498388606677549
2007.25,-0.154019668241101
2007.5,0.961002080512654
2007.75,0.11885310077353
2008,-0.693021612236518
2008.25,0.12477546834256
2008.5,-0.596058174954242
2008.75,-1.51290427771355
2009,0.554618897261543
2009.25,1.01032661863864
2009.5,0.566699227602137
2009.75,-0.386037565765563
2010,
2010.25,
2010.5,
2010.75,
